car_name,measurement_data_id,measurement_datetime,measurement_ms,latitude,longitude,gps_error_meter,accel_x_transverse,accel_y_longitudinal,accel_z_vertical
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547153063,37.500071,139.891878,18,0.353,-0.013,9.959
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547153163,37.500081,139.891886,18,0.216,0.037,10.015
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547153263,37.500091,139.891894,18,0.141,-0.009,9.994
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547153363,37.500101,139.891901,18,0.216,-0.039,9.965
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547153463,37.500111,139.891909,18,0.341,-0.015,9.963
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547153563,37.500121,139.891917,18,0.340,-0.028,9.924
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547153663,37.500131,139.891925,18,0.235,0.036,10.007
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547153763,37.500141,139.891933,18,0.190,-0.003,9.997
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547153863,37.500151,139.891941,18,0.240,-0.044,9.987
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547153963,37.500161,139.891949,18,0.347,-0.014,9.951
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547154063,37.500168,139.891949,17,0.319,-0.015,9.942
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547154163,37.500172,139.891945,17,0.233,0.022,10.026
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547154263,37.500176,139.891940,17,0.153,-0.002,10.004
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547154363,37.500180,139.891936,17,0.205,-0.043,9.981
aizu_BL-01_10,20170220_083218,2017/02/20 08:32:18,1487547154463,37.500185,139.891931,17,0.332,-0.005,9.955
